id,x_center,y_center
250mN303475E444950,11.809626702365795,50.411573007261204
250mN303475E444975,11.81314265096593,50.411517464147586
250mN303475E445000,11.816658591971642,50.41146181324789
250mN303475E445025,11.820174525368246,50.411406054562526
250mN303475E445050,11.823690451141038,50.411350188091866
250mN303475E445075,11.827206369275332,50.41129421383626
250mN303475E445100,11.83072227975645,50.41123813179612
250mN303475E445125,11.834238182569695,50.41118194197181
250mN303475E445150,11.837754077700385,50.411125644363715
250mN303475E445175,11.841269965133822,50.41106923897221
250mN303475E445200,11.844785844855327,50.41101272579766
250mN303475E445225,11.84830171685021,50.410956104840466
250mN303475E445250,11.851817581103784,50.41089937610103
250mN303475E445275,11.855333437601361,50.4108425395797
250mN303475E445300,11.858849286328251,50.41078559527687
250mN303475E445325,11.862365127269776,50.410728543192924
250mN303475E445350,11.865880960411246,50.41067138332826
250mN303475E445375,11.869396785737967,50.41061411568325
250mN303475E445400,11.872912603235264,50.41055674025828
250mN303475E445425,11.87642841288845,50.41049925705375
250mN303475E445450,11.879944214682835,50.41044166607004
250mN303475E445475,11.88346000860374,50.410383967307546
250mN303475E445500,11.886975794636474,50.41032616076664
250mN303475E445525,11.890491572766352,50.41026824644774
250mN303475E445550,11.894007342978705,50.41021022435122
250mN303475E445575,11.897523105258827,50.41015209447746
250mN303475E445600,11.901038859592049,50.41009385682688
250mN303475E445625,11.904554605963684,50.410035511399855
250mN303475E445650,11.908070344359048,50.4099770581968
250mN303475E445675,11.911586074763461,50.409918497218065
250mN303475E445700,11.91510179716223,50.40985982846408
250mN303475E445725,11.918617511540694,50.40980105193525
250mN303475E445750,11.922133217884143,50.40974216763195
250mN303475E445775,11.925648916177918,50.40968317555459
250mN303475E445800,11.929164606407324,50.409624075703555
250mN303475E445825,11.932680288557693,50.409564868079265
250mN303475E445850,11.93619596261433,50.40950555268211
250mN303475E445875,11.939711628562565,50.409446129512474
250mN303475E445900,11.943227286387701,50.409386598570784
250mN303475E445925,11.94674293607508,50.40932695985743
250mN303475E445950,11.950258577610004,50.40926721337281
250mN303475E445975,11.953774210977803,50.40920735911734
250mN303475E446000,11.957289836163799,50.40914739709142
250mN303475E446025,11.960805453153304,50.40908732729544
250mN303450E444175,11.700547770212234,50.410994475156265
250mN303450E444200,11.704063779965521,50.410942276445795
250mN303450E444225,11.707579782581163,50.41088996994385
250mN303450E444250,11.711095778044475,50.41083755565082
250mN303450E444275,11.714611766340754,50.410785033567
250mN303450E444300,11.718127747455314,50.41073240369277
250mN303450E444325,11.72164372137345,50.41067966602849
250mN303450E444350,11.725159688080483,50.41062682057455
250mN303450E444375,11.72867564756171,50.41057386733127
250mN303450E444400,11.732191599802443,50.41052080629898
250mN303450E444425,11.735707544787983,50.41046763747808
250mN303450E444450,11.739223482503643,50.410414360868934
250mN303450E444475,11.742739412934727,50.41036097647188
250mN303450E444500,11.746255336066552,50.41030748428726
250mN303450E444525,11.749771251884422,50.4102538843155
250mN303450E444550,11.753287160373636,50.41020017655691
250mN303450E444575,11.756803061519514,50.41014636101186
250mN303450E444600,11.760318955307357,50.410092437680724
250mN303450E444625,11.763834841722485,50.41003840656386
250mN303450E444650,11.767350720750196,50.40998426766165
250mN303450E444675,11.770866592375816,50.40993002097441
250mN303450E444700,11.774382456584632,50.40987566650257
250mN303450E444725,11.77789831336197,50.40982120424647
250mN303450E444750,11.781414162693137,50.40976663420646
250mN303450E444775,11.784930004563448,50.40971195638294
250mN303450E444800,11.7884458389582,50.40965717077625
250mN303450E444825,11.791961665862717,50.409602277386774
250mN303450E444850,11.795477485262312,50.40954727621489
250mN303450E444875,11.798993297142287,50.40949216726096
250mN303450E444900,11.802509101487962,50.40943695052536
250mN303450E444925,11.806024898284644,50.40938162600845
250mN303450E444950,11.809540687517645,50.40932619371061
250mN303450E444975,11.81305646917229,50.40927065363226
250mN303450E445000,11.816572243233871,50.4092150057737
250mN303450E445025,11.820088009687709,50.409159250135346
250mN303450E445050,11.823603768519137,50.40910338671758
250mN303450E445075,11.827119519713444,50.40904741552077
250mN303450E445100,11.830635263255948,50.408991336545284
250mN303450E445125,11.834150999131973,50.40893514979151
250mN303450E445150,11.837666727326827,50.408878855259836
250mN303450E445175,11.841182447825823,50.40882245295061
250mN303450E445200,11.844698160614275,50.40876594286427
250mN303450E445225,11.84821386567751,50.40870932500114
250mN303450E445250,11.851729563000832,50.40865259936163
250mN303450E445275,11.855245252569555,50.408595765946124
250mN303450E445300,11.858760934369005,50.408538824755
250mN303450E445325,11.862276608384496,50.408481775788644
250mN303450E445350,11.865792274601327,50.40842461904745
250mN303450E445375,11.869307933004844,50.40836735453178
